Nom,Dosage,Forme,Pr?sentation,Prix public,Prix hospitalier,DCI,Source
AFUCID,250 mg,comprimés,B/10,"16,715","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIBACTER 250,250 mg,Comprimés pelliculés,B/10,"17,460","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUCIDINE,250 mg,Comprimés pelliculés,B/10,"20,830","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
AFUSIDIC,250 mg,Comprimés pelliculés,B/10,"21,130","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIMAX,250 mg,Comprimés pelliculés,B/12,"21,985","16,249",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIBACTER 250,250 mg,Comprimés pelliculés,B/20,"31,860","27,081",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIMAX,250 mg,Comprimés pelliculés,B/20,"34,800","27,081",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
AFUSIDIC,250 mg,Comprimés pelliculés,B/20,"35,670","27,081",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUCIDINE,250 mg,Suspension buvable,FL/90 ml,"23,225","19,737",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
AMOXICILLINE WINTHROP,500 mg,Gélules,B/12,"3,845","2,519",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg,Gélules,B/12,"4,270","2,519",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg,Comprimés pelliculés,B/12,"4,430","2,519",AMOXICILLINE,ballouchi.github.io/medoc
HICONCIL,500 mg,Gélules,B/12,"4,540","2,519",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL,500 mg,Gélules,B/12,"7,920","2,519",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg,Comprimés pelliculés,B/24,"5,935","5,039",AMOXICILLINE,ballouchi.github.io/medoc
AMOXICILLINE SANOFI,500 mg,Gélules,B/24,"7,020","5,039",AMOXICILLINE,ballouchi.github.io/medoc
PENAMOX,500 mg,Gélules,B/24,"8,475","5,039",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,1 g,Comprimés pelliculés,B/12,"6,115","5,192",AMOXICILLINE,ballouchi.github.io/medoc
PENAMOX,1 g,Comprimés pelliculés sécables,B/12,"8,475","5,192",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg,Comprimés dispersibles,B/12,"4,270","3,070",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,500 mg,Comprimés dispersibles,B/12,"5,480","3,070",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL DISPERSIBLE,500 mg,Comprimés solubles,B/12,"8,740","3,070",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg,Comprimés dispersibles,B/24,"7,240","6,140",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg,Comprimés dispersibles sécables,B/24,"8,770","6,140",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,500 mg,Comprimés dispersibles,B/24,"9,395","6,140",AMOXICILLINE,ballouchi.github.io/medoc
AMOXAL,500 mg,Comprimés dispersibles,B/24,"9,490","6,140",AMOXICILLINE,ballouchi.github.io/medoc
AMOXICILLINE SANOFI,1 g,Comprimés dispersibles,B/12,"8,000","4,845",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,1 g,Comprimés dispersibles,B/12,"9,200","4,845",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL DISPERSIBLE,1 g,Comprimés solubles,B/12,"13,805","4,845",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,1 g,Comprimés dispersibles,B/14,"8,570","5,653",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,1 g,Comprimés dispersibles sécables,B/14,"10,110","5,653",AMOXICILLINE,ballouchi.github.io/medoc
AMOXAL,1 g,Comprimés dispersibles,B/14,"10,860","5,653",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,1 g,Comprimés dispersibles,B/21,"12,140","8,479",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,1 g,Comprimés dispersibles,B/21,"12,140","8,479",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,1 g,Comprimés dispersibles sécables,B/24,"11,410","9,690",AMOXICILLINE,ballouchi.github.io/medoc
AMOXIL IM IV,500 mg,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"1,550","1,318",AMOXICILLINE,ballouchi.github.io/medoc
AMOXIL,500 mg,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"2,560","1,318",AMOXICILLINE,ballouchi.github.io/medoc
AMOXIL,1 g,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"3,255","2,767",AMOXICILLINE,ballouchi.github.io/medoc
HICONCIL,125 mg,Poudre pour suspension orale,FL/60 ml,"2,120","1,785",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL,125 mg,Poudre pour suspension orale,FL/60 ml,"2,835","1,785",AMOXICILLINE,ballouchi.github.io/medoc
HICONCIL,250 mg/5 ml,Sirop,FL/60 ml,"2,670","2,244",AMOXICILLINE,ballouchi.github.io/medoc
AMOXICILLINE SANOFI,250 mg/5 ml,Poudre pour suspension orale,FL/60 ml + cuillère doseuse,"3,270","2,244",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,250 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"3,380","2,244",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,250 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"3,445","2,244",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,250 mg/5 ml,Poudre pour suspension orale,B/1 FL/60 ml,"3,740","2,244",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL,250 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"5,960","2,244",AMOXICILLINE,ballouchi.github.io/medoc
AMOXAL,250 mg/5 ml,Poudre pour suspension orale,FL/100 ml,"4,510","3,740",AMOXICILLINE,ballouchi.github.io/medoc
PENAMOX,250 mg/5 ml,Poudre pour suspension orale,FL/100 ml,"5,205","3,740",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg/5 ml,Poudre pour suspension orale,B/1 FL/60 ml,"4,940","3,825",AMOXICILLINE,ballouchi.github.io/medoc
HICONCIL,500 mg/5 ml,Sirop,FL/60 ml,"6,070","3,825",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,500 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"6,435","3,825",AMOXICILLINE,ballouchi.github.io/medoc
AMOXICILLINE SANOFI,500 mg/5 ml,Poudre pour suspension orale,FL/60 ml + cuillère doseuse,"6,575","3,825",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"6,905","3,825",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL,500 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"10,340","3,825",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg/5 ml,Poudre pour suspension orale,FL/100 ml,"7,595","6,375",AMOXICILLINE,ballouchi.github.io/medoc
PENAMOX,500 mg/5 ml,Granulés pour suspension buvable,FL/100 ml,"8,595","6,375",AMOXICILLINE,ballouchi.github.io/medoc
MEDICLAV,"500 mg/62,5 mg",Comprimés pelliculés,B/12,"9,030","6,222",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"500 mg/62,5 mg",Comprimés pelliculés,B/12,"9,815","6,222",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVUMOX,"500 mg/62,5 mg",Comprimés pelliculés,B/16,"10,000","8,296",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR 500 (1:8),"500 mg/62,5 mg",Comprimés pelliculés,B/16,"11,175","8,296",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV,"500 mg/62,5 mg",Comprimés pelliculés,B/16,"11,780","8,296",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN 8/1 ADULTE,"500 mg/62,5 mg",Comprimés pelliculés,B/16,"16,830","8,296",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"500 mg/62,5 mg",Comprimés pelliculés,B/24,"14,750","12,444",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVUMOX,"500 mg/62,5 mg",Comprimés pelliculés,B/24,"14,760","12,444",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOXI-CLAV SANOFI ADULTE,"500 mg/62,5 mg",Comprimés pelliculés,B/24,"16,155","12,444",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV,"500 mg/62,5 mg",Comprimés pelliculés,B/24,"16,235","12,444",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR 500 (1:8),"500 mg/62,5 mg",Comprimés pelliculés,B/24,"17,105","12,444",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN 8/1 ADULTE,"500 mg/62,5 mg",Comprimés pelliculés,B/24,"24,980","12,444",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVUMOX,"500 mg/62,5 mg",Comprimés pelliculés,B/48,"29,300","24,888",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
BICLAVOR,"500 mg/62,5 mg",Comprimés pelliculés,B/48,"29,910","24,888",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR,500 mg/125 mg,comprimés,B/12,"10,125","8,599",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
VAAMOX IV ENFANT ET NOURRISSON,500 mg/50 mg,Pdre p.prep.injectable,B/1 FL,"3,700","3,145",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
VAAMOX IV ADULTE,1 g/200 mg,Pdre p.prep.injectable,B/1 FL,"7,170","6,095",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
MEDICLAV,"500 mg/62,5 mg",Poudre pour suspension orale,B/12 Sachets-doses,"7,815","5,987",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"500 mg/62,5 mg",Poudre pour suspension orale,B/12 Sachets-doses,"9,320","5,987",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV ENFANT,"500 mg/62,5 mg",Poudre pour suspension orale,B/12 Sachets-doses,"9,900","5,987",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CIBLOR,"500 mg/62,5 mg",Poudre pour suspension orale,B/12 Sachets-doses,"12,230","5,987",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN ENFANT,"500 mg/62,5 mg",Poudre pour suspension orale,B/12 Sachets-doses,"14,455","5,987",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV ENFANT,"500 mg/62,5 mg",Poudre pour suspension orale,B/21 Sachets-doses,"12,350","10,478",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVUMOX,"500 mg/62,5 mg",Poudre pour suspension orale,B/24 Sachets,"14,090","11,975",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"500 mg/62,5 mg",Poudre pour suspension orale,B/24 Sachets,"16,055","11,975",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR,"500 mg/62,5 mg",Poudre pour suspension orale,B/24 Sachets,"18,480","11,975",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN ENFANT,"500 mg/62,5 mg",Poudre pour suspension orale,B/24 Sachets-doses,"24,655","11,975",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
MEDICLAV,1 g/125 mg,Poudre pour suspension orale,B/12 Sachets-doses,"15,005","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR,1 g/125 mg,Poudre pour suspension orale,B/12 Sachets,"17,605","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/12 Sachets-doses,"17,940","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOXI-CLAV SANOFI,1 g/125 mg,Poudre pour suspension orale,B/12 Sachets,"18,355","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV ADULTE,1 g/125 mg,Poudre pour suspension orale,B/12,"18,375","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CIBLOR,1 g/125 mg,Poudre pour suspension orale,B/12 Sachets-doses,"19,710","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN ADULTE,1 g/125 mg,Poudre pour suspension orale,B/12 Sachets-doses,"25,415","11,914",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV ADULTE,1 g/125 mg,Poudre pour suspension orale,B/21,"24,595","20,849",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOXI-CLAV SANOFI,1 g/125 mg,Poudre pour suspension orale,B/24 Sachets,"28,035","23,827",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,1 g/125 mg,Poudre pour suspension orale,B/24 Sachets-doses,"28,300","23,827",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR,1 g/125 mg,Poudre pour suspension orale,B/24 Sachets,"29,425","23,827",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN,1 g/125 mg,Poudre pour suspension orale,B/24 Sachets-doses,"47,040","23,827",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVUMOX NOURRISSON,"100 mg/12,5 mg/ml",Sirop,FL/30 ml,"5,940","3,723",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV NOURRISSONS,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + Seringue doseuse,"6,155","3,723",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
MEDICLAV,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + Seringue doseuse,"6,400","3,723",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + Seringue doseuse,"7,015","3,723",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOXI-CLAV SANOFI NOURRISSONS,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + pipette doseuse,"7,350","3,723",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN NOURRISSONS,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/30 ml + pipette doseuse,"9,640","3,723",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
MEDICLAV,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Seringue doseuse,"8,790","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVUMOX ENFANT,"100 mg/12,5 mg/ml",Sirop,FL/60 ml,"8,875","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Seringue doseuse,"9,115","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
NOVACLAV ENFANT,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Seringue doseuse,"9,710","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CLAVOR 100 MG/12.5MG/ML,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + pipette doseuse,"10,795","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
CIBLOR ENFANT,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Seringue doseuse,"10,980","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOXI-CLAV SANOFI ENFANTS,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + pipette doseuse,"12,095","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN,"100 mg/12,5 mg/ml",Poudre pour suspension orale,FL/60 ml + Seringue doseuse,"16,555","7,446",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AUGMENTIN,250 mg,Poudre pour suspension orale,FL/60 ml + Seringue doseuse,"9,548","8,109",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMOCLAN,"600 mg/42,9 mg",Poudre pour suspension orale,FL/100 ml,"14,240","0,000",AMOXICILLINE+ACIDE CLAVULANIQUE,ballouchi.github.io/medoc
AMPICIL IM IV,"0,5 g",Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"1,410","1,199",AMPICILLINE,ballouchi.github.io/medoc
AMPICIL,1 g,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"2,400","2,040",AMPICILLINE,ballouchi.github.io/medoc
TRIMAX UNO,500 mg,Comprimés pelliculés sécables,B/2,"6,385","4,493",AZITHROMYCINE,ballouchi.github.io/medoc
AZITROMIN DUO,500 mg,Comprimés pelliculés sécables,B/2,"6,565","4,493",AZITHROMYCINE,ballouchi.github.io/medoc
ZITHROMAX UNO,500 mg,Comprimés sécables,B/2,"15,045","4,493",AZITHROMYCINE,ballouchi.github.io/medoc
AZACINE,500 mg,Comprimés pelliculés sécables,B/3,"7,930","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
ZITRO,500 mg,Comprimés pelliculés,B/3,"8,640","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
AZITRAL,500 mg,Comprimés pelliculés,B/3,"8,935","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
ZITHROCARE,500 mg,Comprimés pelliculés,B/3,"9,000","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
ZOMAX,500 mg,Comprimés pelliculés,B/3,"9,375","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
AZITROMIN TRIO,500 mg,Comprimés pelliculés sécables,B/3,"9,720","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
AZIX,500 mg,Comprimés pelliculés,B/3,"11,280","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
TRIMAX 500,500 mg,Comprimés pelliculés sécables,B/3,"11,630","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
AZRO,500 mg,Comprimés pelliculés sécables,B/3,"11,925","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
ZITHROMAX,500 mg,Comprimés sécables,B/3,"18,755","6,740",AZITHROMYCINE,ballouchi.github.io/medoc
ZOMAX,250 mg,Gélules,B/6,"8,545","7,262",AZITHROMYCINE,ballouchi.github.io/medoc
AZITHRO,250 mg,Gélules,B/6,"10,290","7,262",AZITHROMYCINE,ballouchi.github.io/medoc
ZOMAX 600,40 mg/ml,Poudre pour suspension orale,FL/15 ml,"6,160","3,991",AZITHROMYCINE,ballouchi.github.io/medoc
AZRO 600 MG,40 mg/ml,Poudre pour suspension orale,FL/15 ml,"6,725","3,991",AZITHROMYCINE,ballouchi.github.io/medoc
AZIX 600,40 mg/ml,Poudre pour suspension orale,FL/15 ml,"7,335","3,991",AZITHROMYCINE,ballouchi.github.io/medoc
ZITROMAX 600,40 mg/ml,Poudre pour suspension orale,FL/15 ml,"9,385","3,991",AZITHROMYCINE,ballouchi.github.io/medoc
ZOMAX 900,40 mg/ml,Poudre pour suspension orale,"FL/22,5 ml","9,120","5,987",AZITHROMYCINE,ballouchi.github.io/medoc
AZIX 900,40 mg/ml,Poudre pour suspension orale,"FL/22,5 ml","10,665","5,987",AZITHROMYCINE,ballouchi.github.io/medoc
AZRO 900 MG,40 mg/ml,Poudre pour suspension orale,"FL/22,5 ml","10,700","5,987",AZITHROMYCINE,ballouchi.github.io/medoc
ZITHROMAX 900,40 mg/ml,Poudre pour suspension orale,"FL/22,5 ml","13,575","5,987",AZITHROMYCINE,ballouchi.github.io/medoc
AZIX,40 mg/ml,Poudre pour suspension orale,"FL/37,5 ml","11,740","9,977",AZITHROMYCINE,ballouchi.github.io/medoc
ZOMAX 1500,40 mg/ml,Poudre pour suspension orale,"FL/37,5 ml","12,240","9,977",AZITHROMYCINE,ballouchi.github.io/medoc
AZRO,40 mg/ml,Poudre pour suspension orale,"Fl/37,5 ml","13,450","9,977",AZITHROMYCINE,ballouchi.github.io/medoc
ZITHROMAX 1500,40 mg/ml,Poudre pour suspension orale,"FL/37,5 ml","24,750","9,977",AZITHROMYCINE,ballouchi.github.io/medoc
RETARPEN,"0,6 MUI",Pdre p.prep.injectable,B/1 FL + Solvant 2 ml,"1,645","1,398",BENZATHINE BENZYLPENICILLINE,ballouchi.github.io/medoc
TARDIPEN,"0,6 MUI",Pdre p.prep.injectable,B/1 FL + Solvant 2 ml,"1,795","1,398",BENZATHINE BENZYLPENICILLINE,ballouchi.github.io/medoc
TARDIPEN,"1,2 MUI",Pdre p.prep.injectable,B/1 FL + Solvant 4 ml,"2,155","1,832",BENZATHINE BENZYLPENICILLINE,ballouchi.github.io/medoc
PENITARD,"1,2 MUI",Pdre p.prep.injectable,B/1 FL + Solvant 4 ml,"3,050","1,832",BENZATHINE BENZYLPENICILLINE,ballouchi.github.io/medoc
PENICILLINE G UNIMED,1 MUI,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"1,275","1,084",BENZYLPENICILLINE,ballouchi.github.io/medoc
BRONCHOCINE,4 mg,Comprimés pelliculés,B/20,"3,580","3,043",BROMHEXINE+TETRACYCLINE,ballouchi.github.io/medoc
ORACEFAL,1 g,Comprimés dispersibles,B/6,"8,939","7,594",CEFADROXIL,ballouchi.github.io/medoc
SAIFORAL,500 mg,Gélules,B/12,"7,185","5,273",CEFADROXIL,ballouchi.github.io/medoc
CEDROX,500 mg,Gélules,B/12,"7,510","5,273",CEFADROXIL,ballouchi.github.io/medoc
ORACEFAL,500 mg,Gélules,B/12,"8,785","5,273",CEFADROXIL,ballouchi.github.io/medoc
CEDROX,500 mg,Gélules,B/24,"12,425","10,547",CEFADROXIL,ballouchi.github.io/medoc
SAIFORAL,500 mg,Gélules,B/24,"12,760","10,547",CEFADROXIL,ballouchi.github.io/medoc
ORACEFAL,125 mg,Poudre pour suspension orale,FL/60 ml,"3,890","3,264",CEFADROXIL,ballouchi.github.io/medoc
CEDROX,250 mg,Suspension buvable,FL/60 ml,"4,740","4,029",CEFADROXIL,ballouchi.github.io/medoc
SAIFORAL,250 mg,Poudre pour suspension orale,FL/60 ml,"6,120","4,029",CEFADROXIL,ballouchi.github.io/medoc
ORACEFAL,250 mg,Poudre pour suspension orale,FL/60 ml,"6,420","4,029",CEFADROXIL,ballouchi.github.io/medoc
CEDROX,500 mg,Suspension buvable,FL/60 ml,"8,160","6,936",CEFADROXIL,ballouchi.github.io/medoc
SAIFORAL,500 mg,Poudre pour suspension orale,FL/60 ml,"8,755","6,936",CEFADROXIL,ballouchi.github.io/medoc
ORACEFAL,500 mg,Poudre pour suspension orale,FL/60 ml,"10,305","6,936",CEFADROXIL,ballouchi.github.io/medoc
CEFAZOL IM IV,1 g,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"3,600","3,060",CEFAZOLINE,ballouchi.github.io/medoc
CEFAZOL IM,1 g,Pdre p.prep.injectable,B/1 FL + Solvant 5 ml,"3,890","3,060",CEFAZOLINE,ballouchi.github.io/medoc
OMNICEF,125 mg/5 ml,Poudre pour suspension orale,FL/40 ml,"10,140","0,000",CEFDINIR,ballouchi.github.io/medoc
OMNICEF,125 mg/5 ml,Poudre pour suspension orale,FL/80 ml,"17,340","0,000",CEFDINIR,ballouchi.github.io/medoc
MEGACEF,200 mg,Gélules,B/8,"15,145","10,370",CEFIXIME,ballouchi.github.io/medoc
OROKEN,200 mg,Comprimés pelliculés,B/8,"19,725","10,370",CEFIXIME,ballouchi.github.io/medoc
OROKEN,200 mg,Comprimés pelliculés,B/14,"35,105","18,148",CEFIXIME,ballouchi.github.io/medoc
OROKEN,200 mg,Comprimés pelliculés,B/8,"19,725","10,370",CEFIXIME,ballouchi.github.io/medoc
MEGACEF,200 mg,Gélules,B/16,"24,415","20,740",CEFIXIME,ballouchi.github.io/medoc
FALOXIM,200 mg,Gélules,B/16,"24,440","20,740",CEFIXIME,ballouchi.github.io/medoc
CEFOKEN,200 mg,Gélules,B/16,"29,495","20,740",CEFIXIME,ballouchi.github.io/medoc
OROKEN NOURRISSONS,40 mg/5 ml,Poudre pour suspension orale,FL/40 ml,"10,805","4,148",CEFIXIME,ballouchi.github.io/medoc
FALOXIM,40 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"7,355","6,222",CEFIXIME,ballouchi.github.io/medoc
MEGACEF NOURRISSONS,40 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"9,430","6,222",CEFIXIME,ballouchi.github.io/medoc
MEGACEF ENFANTS,100 mg/5 mg,Poudre pour suspension orale,FL/40 ml,"9,060","7,684",CEFIXIME,ballouchi.github.io/medoc
OROKEN ENFANTS,100 mg/5 ml,Poudre pour suspension orale,FL/40 ml,"17,945","7,684",CEFIXIME,ballouchi.github.io/medoc
FALOXIM 100,100 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"14,510","11,526",CEFIXIME,ballouchi.github.io/medoc
MEGACEF ENFANTS,100 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"17,905","11,526",CEFIXIME,ballouchi.github.io/medoc
CEFOKEN,100 mg/5 ml,Poudre pour suspension orale,FL/60 ml,"19,670","11,526",CEFIXIME,ballouchi.github.io/medoc
CEFOTIM IM IV,"0,5 g",Pdre p.prep.injectable,B/1 FL + Solvant 2 ml,"6,840","5,814",CEFOTAXIME,ballouchi.github.io/medoc
CEFOTIM IM,1 g,Pdre p.prep.injectable,B/1 FL + Solvant 4 ml,"11,870","10,090",CEFOTAXIME,ballouchi.github.io/medoc
CEFOTIM IM IV,1 g,Pdre p.prep.injectable,B/1 FL + Solvant 4 ml,"12,430","10,090",CEFOTAXIME,ballouchi.github.io/medoc
ORELOX,100 mg,Comprimés pelliculés,B/10,"22,495","16,201",CEFPODOXIME,ballouchi.github.io/medoc
CEFODOX,100 mg,Comprimés,B/10,"22,755","16,201",CEFPODOXIME,ballouchi.github.io/medoc
ORELOX,100 mg,Comprimés pelliculés,B/20,"38,135","32,402",CEFPODOXIME,ballouchi.github.io/medoc
CEFODOX,200 mg,Comprimés,B/10,"21,691","18,437",CEFPODOXIME,ballouchi.github.io/medoc
ORELOX ENFANTS ET NOURRISSONS,40 mg/5 ml,Granulés pour suspension buvable,FL/50 ml,"12,660","8,543",CEFPODOXIME,ballouchi.github.io/medoc
